x_m,y_m,s_m
7.42484,12.46276,9.27877
7.42154,12.43948,9.29876
7.41909,12.41591,9.31876
7.41694,12.39449,9.33876
7.41500,12.37158,9.35875
7.41356,12.35000,9.37875
7.41209,12.32754,9.39875
7.41123,12.30493,9.41875
7.41048,12.28387,9.43875
7.40992,12.26179,9.45874
7.40966,12.24064,9.47874
7.40941,12.21948,9.49874
7.40944,12.19826,9.51873
7.40948,12.17781,9.53873
7.40962,12.15693,9.55873
7.40986,12.13646,9.57873
7.41011,12.11596,9.59873
7.41047,12.09544,9.61872
7.41083,12.07542,9.63872
7.41119,12.05543,9.65872
7.41155,12.03543,9.67872
7.41190,12.01577,9.69871
7.41218,11.99613,9.71871
7.41246,11.97630,9.73871
7.41270,11.95666,9.75871
7.41290,11.93685,9.77871
7.41310,11.91719,9.79870
7.41322,11.89754,9.81870
7.41334,11.87764,9.83870
7.41344,11.85782,9.85870
7.41352,11.83792,9.87870
7.41360,11.81792,9.89869
7.41368,11.79792,9.91869
7.41376,11.77792,9.93869
7.41384,11.75793,9.95869
7.41392,11.73793,9.97868
7.41400,11.71793,9.99868
7.41408,11.69793,10.01868
7.41416,11.67794,10.03868
7.41424,11.65794,10.05868
7.41432,11.63794,10.07867
7.41440,11.61778,10.09867
7.41452,11.59760,10.11867
7.41464,11.57768,10.13867
7.41474,11.55785,10.15866
7.41482,11.53795,10.17866
7.41490,11.51795,10.19866
7.41498,11.49796,10.21866
7.41506,11.47796,10.23866
7.41514,11.45796,10.25865
7.41522,11.43796,10.27865
7.41530,11.41797,10.29865
7.41538,11.39797,10.31865
7.41546,11.37797,10.33864
7.41554,11.35797,10.35864
7.41562,11.33798,10.37864
7.41570,11.31781,10.39864
7.41582,11.29764,10.41864
7.41594,11.27771,10.43863
7.41604,11.25789,10.45863
7.41612,11.23799,10.47863
7.41620,11.21799,10.49863
7.41628,11.19799,10.51863
7.41636,11.17799,10.53862
7.41644,11.15800,10.55862
7.41652,11.13800,10.57862
7.41660,11.11800,10.59862
7.41668,11.09800,10.61861
7.41676,11.07801,10.63861
7.41684,11.05801,10.65861
7.41692,11.03801,10.67861
7.41700,11.01785,10.69861
7.41712,10.99768,10.71860
7.41724,10.97775,10.73860
7.41734,10.95792,10.75860
7.41742,10.93802,10.77860
7.41750,10.91803,10.79859
7.41758,10.89803,10.81859
7.41766,10.87803,10.83859
7.41774,10.85803,10.85859
7.41782,10.83804,10.87859
7.41790,10.81804,10.89858
7.41798,10.79804,10.91858
7.41806,10.77804,10.93858
7.41814,10.75804,10.95858
7.41822,10.73805,10.97857
7.41830,10.71788,10.99857
7.41842,10.69771,11.01857
7.41854,10.67778,11.03857
7.41864,10.65796,11.05857
7.41872,10.63806,11.07856
7.41880,10.61806,11.09856
