x_m,y_m,s_m
8.25948,7.66591,14.33812
8.27338,7.65223,14.35811
8.28748,7.63845,14.37811
8.30227,7.62399,14.39811
8.31698,7.60938,14.41811
8.33150,7.59494,14.43810
8.34631,7.58007,14.45810
8.36073,7.56541,14.47810
8.37571,7.55016,14.49810
8.39054,7.53461,14.51810
8.40515,7.51922,14.53809
8.42050,7.50265,14.55809
8.43483,7.48665,14.57809
8.45060,7.46898,14.59808
8.46586,7.45048,14.61808
8.47997,7.43319,14.63808
8.49515,7.41368,14.65807
8.50856,7.39536,14.67807
8.52326,7.37510,14.69807
8.53711,7.35377,14.71806
8.54960,7.33419,14.73806
8.56317,7.31133,14.75804
8.57446,7.29041,14.77804
8.58715,7.26648,14.79804
8.59837,7.24119,14.81803
8.60778,7.21918,14.83803
8.61775,7.19317,14.85801
8.62541,7.16988,14.87800
8.63394,7.14314,14.89800
8.64047,7.11519,14.91799
8.64574,7.09093,14.93799
8.65068,7.06158,14.95796
8.65342,7.03615,14.97796
8.65598,7.01078,14.99795
8.65714,6.98486,15.01795
8.65794,6.96241,15.03795
8.65825,6.93769,15.05794
8.65786,6.91499,15.07793
8.65741,6.89175,15.09793
8.65614,6.86828,15.11793
8.65484,6.84604,15.13793
8.65282,6.82139,15.15792
8.65030,6.79883,15.17791
8.64777,6.77652,15.19791
8.64462,6.75409,15.21791
8.64162,6.73321,15.23791
8.63825,6.71134,15.25790
8.63474,6.69041,15.27790
8.63084,6.66744,15.29790
8.62608,6.64436,15.31790
8.62173,6.62371,15.33789
8.61700,6.60228,15.35789
8.61219,6.58171,15.37789
8.60720,6.56045,15.39789
8.60174,6.53914,15.41788
8.59644,6.51860,15.43788
8.59054,6.49689,15.45788
8.58460,6.47630,15.47788
8.57851,6.45528,15.49787
8.57195,6.43424,15.51787
8.56576,6.41457,15.53787
8.55932,6.39447,15.55787
8.55289,6.37486,15.57786
8.54583,6.35345,15.59786
8.53812,6.33203,15.61786
8.53106,6.31264,15.63786
8.52379,6.29294,15.65785
8.51653,6.27368,15.67785
8.50882,6.25325,15.69785
8.50065,6.23284,15.71785
8.49288,6.21357,15.73784
8.48470,6.19370,15.75784
8.47658,6.17449,15.77784
8.46842,6.15521,15.79784
8.46003,6.13595,15.81784
8.45157,6.11658,15.83783
8.44231,6.09607,15.85783
8.43318,6.07667,15.87783
8.42428,6.05779,15.89782
8.41517,6.03894,15.91782
8.40610,6.02023,15.93782
8.39647,6.00076,15.95782
8.38695,5.98205,15.97781
8.37719,5.96288,15.99781
8.36704,5.94376,16.01781
8.35739,5.92565,16.03781
8.34746,5.90722,16.05781
8.33761,5.88920,16.07780
8.32700,5.86982,16.09780
8.31586,5.85053,16.11780
8.30542,5.83257,16.13780
8.29454,5.81413,16.15779
8.28380,5.79630,16.17779
8.27291,5.77825,16.19779
8.26176,5.76026,16.21779
8.25063,5.74235,16.23778
8.23861,5.72348,16.25778
8.22685,5.70563,16.27778
8.21505,5.68775,16.29778
8.20289,5.66995,16.31777
8.19087,5.65242,16.33777
8.17778,5.63384,16.35777
8.16504,5.61643,16.37776
8.15045,5.59660,16.39776
8.13469,5.57720,16.41776
8.12029,5.55974,16.43776
8.10368,5.54062,16.45774
8.08797,5.52371,16.47774
8.07047,5.50506,16.49774
8.05158,5.48710,16.51773
8.03450,5.47117,16.53773
8.01431,5.45354,16.55772
7.99562,5.43858,16.57771
7.97514,5.42237,16.59771
7.95326,5.40716,16.61770
7.93388,5.39400,16.63770
7.91120,5.37966,16.65768
7.89042,5.36774,16.67768
7.86780,5.35493,16.69768
7.84399,5.34330,16.71767
7.82305,5.33334,16.73767
7.79894,5.32276,16.75766
7.77693,5.31413,16.77766
7.75318,5.30494,16.79765
7.72852,5.29696,16.81765
7.70704,5.29022,16.83765
7.68314,5.28333,16.85764
7.66103,5.27768,16.87763
7.63741,5.27174,16.89763
7.61321,5.26680,16.91763
7.59163,5.26255,16.93762
7.56813,5.25836,16.95762
7.54614,5.25501,16.97762
7.52361,5.25161,16.99761
7.50076,5.24886,17.01761
7.47942,5.24638,17.03761
7.45656,5.24405,17.05760
7.43492,5.24226,17.07760
7.41289,5.24046,17.09760
7.39065,5.23915,17.11760
7.36983,5.23798,17.13759
7.34828,5.23694,17.15759
7.32739,5.23614,17.17759
7.30595,5.23534,17.19759
7.28439,5.23487,17.21758
7.26405,5.23446,17.23758
7.24354,5.23410,17.25758
7.22324,5.23382,17.27758
7.20324,5.23354,17.29758
7.18324,5.23326,17.31757
7.16317,5.23298,17.33757
7.14300,5.23271,17.35757
7.12290,5.23247,17.37757
7.10307,5.23223,17.39756
7.08325,5.23196,17.41756
7.06319,5.23168,17.43756
7.04302,5.23141,17.45756
7.02292,5.23117,17.47756
7.00293,5.23093,17.49755
6.98293,5.23069,17.51755
6.96301,5.23045,17.53755
6.94319,5.23020,17.55755
6.92329,5.22992,17.57754
6.90313,5.22964,17.59754
6.88296,5.22939,17.61754
6.86303,5.22915,17.63754
6.84320,5.22890,17.65754
6.82331,5.22862,17.67753
6.80315,5.22834,17.69753
6.78298,5.22809,17.71753
6.76305,5.22785,17.73753
6.74322,5.22760,17.75752
6.72333,5.22732,17.77752
6.70333,5.22704,17.79752
6.68334,5.22676,17.81752
6.66599,5.22654,17.83752
6.65233,5.22595,17.85750
6.63606,5.22451,17.87750
6.62837,5.22428,17.89750
6.62203,5.22237,17.91748
6.60951,5.21942,17.93748
6.60400,5.21775,17.95741
6.59308,5.21292,17.97741
6.58690,5.21087,17.99740
6.58253,5.20754,18.01738
6.57203,5.20101,18.03738
6.56828,5.19830,18.05731
6.56002,5.19045,18.07730
6.55482,5.18639,18.09730
6.55166,5.18163,18.11728
6.54369,5.17167,18.13728
6.54052,5.16707,18.15721
6.53486,5.15639,18.17721
6.53160,5.15169,18.19721
6.53050,5.14679,18.21719
6.52627,5.13484,18.23719
6.52485,5.12959,18.25712
6.52302,5.11755,18.27712
6.52117,5.10845,18.29712
6.52112,5.09957,18.31711
6.52043,5.08145,18.33711
6.52007,5.06462,18.35710
6.52004,5.04630,18.37710
6.52000,5.02647,18.39710
6.52000,5.00665,18.41710
6.52000,4.98666,18.43709
6.52000,4.96666,18.45709
6.52000,4.94666,18.47709
6.52000,4.92666,18.49709
6.52000,4.90667,18.51708
6.52000,4.88667,18.53708
6.52000,4.86667,18.55708
6.52000,4.84667,18.57708
